"customer_id","f_name","l_name","state","address"
39,"Gina","Davis","California","XXXX"
40,"Kayla","Davis","California","XXXX"
41,"Olivia","Smith","California","XXXX"
42,"Samuel","Smith","California","XXXX"
43,"Wanda","Davis","California","XXXX"
44,"Amelia","Reed","California","XXXX"
45,"Erin","Johnson","California","XXXX"
46,"Ivy","Smith","California","XXXX"
47,"Monica","Davis","California","XXXX"
48,"Quinn","Reed","California","XXXX"
49,"Ulysses","Reed","California","XXXX"
130,"Wanda","Scott","California","XXXX"
131,"Alicia","Reed","California","XXXX"
133,"Iris","Scott","California","XXXX"
186,"Monica","Reed","California","XXXX"
16,"Bob","Brown","Arkansas","XXXX"
17,"Zachary","Hughes","Arkansas","XXXX"
18,"Wanda","Reed","Arkansas","XXXX"
19,"Tara","Clark","Arkansas","XXXX"
20,"Quinn","Smith","Arkansas","XXXX"
11,"Alice","Johnson","Arizona","XXXX"
12,"Yvonne","Griffin","Arizona","XXXX"
13,"Victor","Scott","Arizona","XXXX"
14,"Samuel","Reed","Arizona","XXXX"
15,"Patrick","Reed","Arizona","XXXX"
6,"Jane","Doe","Alaska","XXXX"
7,"Xavier","Wright","Alaska","XXXX"
8,"Ursula","Turner","Alaska","XXXX"
9,"Rachel","Lewis","Alaska","XXXX"
10,"Olivia","Brown","Alaska","XXXX"
1,"John","Smith","Alabama","XXXX"
2,"Wanda","Fisher","Alabama","XXXX"
3,"Tara","Green","Alabama","XXXX"
4,"Quinn","Johnson","Alabama","XXXX"
5,"Noah","Green","Alabama","XXXX"
